,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),TOTAL COLIFORM (MPN/100ml)Mean,wqi
210,20.7,6.3,8.3,408.0,2.7,1.58,157.0,87.66
211,27.2,6.7,7.8,105.0,3.6,1.0,89.0,83.7
212,27.5,6.3,7.6,209.0,4.4,1.86,98.0,83.52
213,26.5,7.3,7.7,86.0,3.2,1.0,93.0,83.7
214,27.3,6.3,8.3,999.0,3.3,1.78,112.0,82.98
215,28.7,7.2,7.7,125.0,3.3,1.0,89.0,83.7
216,28.4,7.1,7.5,127.0,3.4,4.4,63.0,83.7
217,28.7,7.2,7.6,127.0,3.2,1.0,51.0,83.7
218,28.7,7.0,7.6,126.0,3.3,1.0,63.0,83.7
219,28.7,7.2,7.6,126.0,3.4,1.89,64.0,83.7
220,28.7,7.1,7.8,112.0,3.2,0.63,88.0,83.7
221,28.3,6.8,7.4,174.0,3.7,2.26,124.0,83.52
222,28.7,6.8,7.6,2572.0,3.3,4.22,118.0,82.98
223,27.2,6.8,8.1,167.0,3.8,1.0,85.0,83.52
224,27.2,6.8,8.0,173.0,3.5,1.0,98.0,83.52
225,27.2,7.0,8.0,168.0,3.6,1.0,83.0,83.52
226,28.0,6.9,7.9,131.0,3.5,0.75,96.0,83.7
227,26.2,7.0,7.6,125.0,3.5,0.6,63.0,83.7
228,26.2,7.2,7.5,132.0,3.3,0.9,88.0,83.7
229,28.2,7.2,7.7,119.0,3.3,1.0,68.0,83.7
230,24.5,6.9,7.5,159.0,2.8,1.0,82.0,88.2
231,24.5,6.7,7.7,141.0,3.3,3.0,90.0,83.7
232,24.5,7.3,7.7,132.0,2.9,2.0,88.0,88.38
233,24.0,6.4,7.3,76.0,1.7,0.62,788.0,82.7599999999999
234,24.9,6.0,7.1,85.0,1.7,0.53,538.0,82.7599999999999
235,24.3,6.3,7.1,69.0,1.3,0.57,593.0,82.94
236,24.8,6.5,7.3,76.0,1.6,0.55,545.0,82.7599999999999
237,26.4,6.7,6.6,60.0,1.2,0.34,435.0,78.66
238,26.6,6.7,7.3,51.0,0.8,0.35,1567.0,82.94
239,28.6,6.9,7.7,107.0,0.7,0.46,443.0,88.38
240,28.8,6.7,7.9,173.0,0.9,0.56,426.0,88.2
241,28.0,5.6,6.9,126.0,1.2,0.67,990.0,73.84
243,26.8,7.1,7.4,80.0,0.6,0.5,2831.0,82.7599999999999
244,30.0,7.2,6.9,62.0,1.3,0.11,150.0,85.26
245,28.8,3.4,6.7,2965.0,2.3,1.11,1236.0,58.58
246,24.8,6.4,7.2,120.0,1.9,0.77,618.0,82.7599999999999
247,29.8,6.6,6.9,77.0,1.6,0.29,756.0,79.46
248,30.2,6.8,7.0,72.0,1.7,0.2,785.0,82.94
249,28.2,2.9,6.7,305.0,2.2,1.28,1623.0,47.34
250,27.7,3.0,6.6,86.0,2.0,0.39,1319.0,56.0
251,23.9,6.7,7.1,79.0,1.6,0.34,738.0,82.7599999999999
252,27.8,6.1,7.8,2905.0,1.3,0.54,997.0,82.0399999999999
253,26.4,6.9,7.4,112.0,0.5,0.35,67.0,88.38
254,29.6,7.0,6.9,51.0,1.1,0.18,317.0,85.26
255,26.3,7.0,7.1,30.0,0.5,0.32,496.0,88.56
256,30.0,6.1,7.0,59.0,1.8,0.58,282.0,88.56
257,28.0,6.0,6.4,61.0,2.1,0.28,300.0,72.06
258,30.1,6.3,7.0,105.0,2.8,0.37,543.0,82.7599999999999
259,27.9,6.9,8.1,502.0,0.9,0.72,615.0,82.0399999999999
260,26.0,7.8,6.8,49.0,1.4,0.3,319.0,85.26
261,27.1,7.3,7.2,67.0,0.9,0.38,3471.0,82.94
262,26.5,6.2,7.2,51.0,0.8,0.23,942.0,82.94
263,28.5,7.2,6.8,69.0,1.2,0.45,941.0,79.64
264,28.7,6.9,6.7,75.0,2.5,0.4,701.0,76.34
265,25.7,6.3,7.4,113.0,0.6,0.88,128.0,88.38
266,29.3,7.6,6.8,79.0,1.6,0.31,109.0,85.08
267,27.0,7.0,7.2,57.0,0.6,0.46,3558.0,82.94
268,27.1,6.8,7.2,105.0,0.6,0.39,2392.0,82.7599999999999
269,30.3,6.3,6.7,2315.0,1.3,0.17,278.0,81.06
270,26.2,6.6,7.3,45.0,0.6,0.39,940.0,82.94
271,26.2,6.9,7.2,42.0,0.5,0.18,774.0,82.94
272,25.1,6.0,7.3,92.0,1.7,0.56,597.0,82.7599999999999
273,27.4,6.1,7.2,59.0,0.7,1.04,311.0,88.56
274,28.1,4.5,6.9,1190.0,0.7,1.17,388.0,73.12
275,28.3,4.2,7.0,69.0,0.6,1.04,420.0,77.32
276,27.2,7.3,7.0,34.0,1.0,0.27,927.0,82.94
277,27.4,6.3,7.0,44.0,1.6,0.32,1876.0,82.94
278,28.2,6.4,7.2,49.0,1.4,0.23,1357.0,82.94
279,27.9,5.9,7.0,3272.0,2.2,0.62,1284.0,76.42
280,27.3,4.6,7.0,65.0,1.7,0.28,1937.0,71.7
281,28.2,6.5,7.0,42.0,1.4,1.0,1221.0,82.94
282,26.7,6.4,6.4,45.0,1.2,1.0,376.0,72.06
283,28.0,6.0,6.1,56.0,1.2,0.0,438.0,72.06
284,29.7,5.3,6.8,99.0,2.8,0.79,523.0,73.84
285,28.9,6.9,6.7,66.0,1.8,0.0,205.0,81.96
286,26.4,6.0,6.6,67.0,1.5,3.69,398.0,78.66
287,26.7,7.1,7.5,46.0,0.8,1.0,1097.0,82.94
288,27.0,6.0,7.3,432.0,1.2,3.0,78.0,87.66
